Diretório,Arquivo,Município,Zona Eleitoral,Local de Votação,Seção Eleitoral,Versão da aplicação,Turno da UE,Identificação do Modelo de Urna,Fase da UE,Serial de votação da MV
2022_2t_AC,o00407-0100700090001.logjez,01007,0009,1104,0001,8.26.0.0 - Onça-pintada,1º turno,UE2013,Oficial,44677268
2022_2t_AC,o00407-0100700090002.logjez,01007,0009,1104,0002,8.26.0.0 - Onça-pintada,1º turno,UE2013,Oficial,7306E323
2022_2t_AC,o00407-0100700090003.logjez,01007,0009,1104,0003,8.26.0.0 - Onça-pintada,1º turno,UE2013,Oficial,2EFCC23E
2022_2t_AC,o00407-0100700090004.logjez,01007,0009,1104,0004,8.26.0.0 - Onça-pintada,1º turno,UE2013,Oficial,FF627AC1
2022_2t_AC,o00407-0100700090005.logjez,01007,0009,1112,0005,8.26.0.0 - Onça-pintada,1º turno,UE2013,Oficial,16B47158
2022_2t_AC,o00407-0100700090006.logjez,01007,0009,1112,0006,8.26.0.0 - Onça-pintada,1º turno,UE2013,Oficial,F0A29B48
2022_2t_AC,o00407-0100700090007.logjez,01007,0009,0000,0000,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,77AD1FEC
2022_2t_AC,o00407-0100700090008.logjez,01007,0009,1023,0008,8.26.0.0 - Onça-pintada,1º turno,UE2013,Oficial,C483B037
2022_2t_AC,o00407-0100700090009.logjez,01007,0009,1023,0009,8.26.0.0 - Onça-pintada,1º turno,UE2013,Oficial,8C16E44A
2022_2t_AC,o00407-0100700090010.logjez,01007,0009,1023,0010,8.26.0.0 - Onça-pintada,1º turno,UE2013,Oficial,41F9FC59
2022_2t_AC,o00407-0100700090120.logjez,01007,0009,1112,0120,8.26.0.0 - Onça-pintada,1º turno,UE2013,Oficial,569C6F46
2022_2t_AC,o00407-0100700090136.logjez,01007,0009,0000,0000,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,8F5224A0
2022_2t_AC,o00407-0100700090137.logjez,01007,0009,1112,0137,8.26.0.0 - Onça-pintada,1º turno,UE2013,Oficial,66F77ADF
2022_2t_AC,o00407-0100700090163.logjez,01007,0009,1040,0163,8.26.0.0 - Onça-pintada,1º turno,UE2013,Oficial,CB2F333D
2022_2t_AC,o00407-0100700090186.logjez,01007,0009,1112,0186,8.26.0.0 - Onça-pintada,1º turno,UE2013,Oficial,22C364B5
2022_2t_AC,o00407-0100700090192.logjez,01007,0009,1058,0192,8.26.0.0 - Onça-pintada,1º turno,UE2013,Oficial,9F9E2B59
2022_2t_AC,o00407-0100700090200.logjez,01007,0009,1066,0200,8.26.0.0 - Onça-pintada,1º turno,UE2011,Oficial,C8028322
2022_2t_AC,o00407-0100700090201.logjez,01007,0009,1074,0201,8.26.0.0 - Onça-pintada,1º turno,UE2013,Oficial,410CF71F
2022_2t_AC,o00407-0100700090202.logjez,01007,0009,1058,0202,8.26.0.0 - Onça-pintada,1º turno,UE2013,Oficial,9A6E79D2
2022_2t_AC,o00407-0100700090208.logjez,01007,0009,1058,0208,8.26.0.0 - Onça-pintada,1º turno,UE2013,Oficial,7406CAD1
2022_2t_AC,o00407-0100700090212.logjez,01007,0009,1082,0212,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,4E05F30A
2022_2t_AC,o00407-0100700090237.logjez,01007,0009,1082,0237,8.26.0.0 - Onça-pintada,1º turno,UE2013,Oficial,05D419C7
2022_2t_AC,o00407-0100700090242.logjez,01007,0009,1090,0242,8.26.0.0 - Onça-pintada,1º turno,UE2013,Oficial,73885816
2022_2t_AC,o00407-0100700090252.logjez,01007,0009,1090,0252,8.26.0.0 - Onça-pintada,1º turno,UE2013,Oficial,F2AEB313
2022_2t_AC,o00407-0100700090304.logjez,01007,0009,1112,0304,8.26.0.0 - Onça-pintada,1º turno,UE2013,Oficial,61E56F35
2022_2t_AC,o00407-0100700090305.logjez,01007,0009,1104,0305,8.26.0.0 - Onça-pintada,1º turno,UE2013,Oficial,ACEBAD97
2022_2t_AC,o00407-0100700090310.logjez,01007,0009,1066,0310,8.26.0.0 - Onça-pintada,1º turno,UE2013,Oficial,5B42EF00
2022_2t_AC,o00407-0100700090411.logjez,01007,0009,1090,0411,8.26.0.0 - Onça-pintada,1º turno,UE2013,Oficial,339839B1
2022_2t_AC,o00407-0100700090412.logjez,01007,0009,1112,0412,8.26.0.0 - Onça-pintada,1º turno,UE2013,Oficial,69CDFDA7
2022_2t_AC,o00407-0100700090413.logjez,01007,0009,1074,0413,8.26.0.0 - Onça-pintada,1º turno,UE2013,Oficial,23A7BBBA
2022_2t_AC,o00407-0100700090419.logjez,01007,0009,1104,0419,8.26.0.0 - Onça-pintada,1º turno,UE2013,Oficial,F2ED83CD
2022_2t_AC,o00407-0100700090436.logjez,01007,0009,1120,0436,8.26.0.0 - Onça-pintada,1º turno,UE2013,Oficial,AF162094
2022_2t_AC,o00407-0100700090437.logjez,01007,0009,1120,0437,8.26.0.0 - Onça-pintada,1º turno,UE2013,Oficial,42855FD2
2022_2t_AC,o00407-0100700090441.logjez,01007,0009,1112,0441,8.26.0.0 - Onça-pintada,1º turno,UE2013,Oficial,94891E0A
2022_2t_AC,o00407-0100700090442.logjez,01007,0009,1147,0442,8.26.0.0 - Onça-pintada,1º turno,UE2013,Oficial,5B95B599
2022_2t_AC,o00407-0101500020065.logjez,01015,0002,1015,0065,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,B4D47E19
2022_2t_AC,o00407-0101500020066.logjez,01015,0002,1015,0066,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,EE527712
2022_2t_AC,o00407-0101500020067.logjez,01015,0002,1015,0067,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,426A0303
2022_2t_AC,o00407-0101500020068.logjez,01015,0002,1015,0068,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,072BB9A9
2022_2t_AC,o00407-0101500020069.logjez,01015,0002,1023,0069,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,2C744800
2022_2t_AC,o00407-0101500020070.logjez,01015,0002,1023,0070,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,112A825D
2022_2t_AC,o00407-0101500020071.logjez,01015,0002,0000,0000,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,7AA05792
2022_2t_AC,o00407-0101500020072.logjez,01015,0002,1023,0072,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,E442AC87
2022_2t_AC,o00407-0101500020073.logjez,01015,0002,1031,0073,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,8E55E8FB
2022_2t_AC,o00407-0101500020074.logjez,01015,0002,1031,0074,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,25C40E32
2022_2t_AC,o00407-0101500020075.logjez,01015,0002,1031,0075,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,00512A67
2022_2t_AC,o00407-0101500020077.logjez,01015,0002,1058,0077,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,6BE6EB95
2022_2t_AC,o00407-0101500020078.logjez,01015,0002,1058,0078,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,8E73BB2B
2022_2t_AC,o00407-0101500020079.logjez,01015,0002,1066,0079,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,D8C7D130
2022_2t_AC,o00407-0101500020080.logjez,01015,0002,1066,0080,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,90A48979
2022_2t_AC,o00407-0101500020081.logjez,01015,0002,1066,0081,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,802E7772
2022_2t_AC,o00407-0101500020082.logjez,01015,0002,1066,0082,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,4CEE45AD
2022_2t_AC,o00407-0101500020087.logjez,01015,0002,1104,0087,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,4FF339F3
2022_2t_AC,o00407-0101500020088.logjez,01015,0002,1112,0088,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,5A98486F
2022_2t_AC,o00407-0101500020089.logjez,01015,0002,1112,0089,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,BD09A089
2022_2t_AC,o00407-0101500020090.logjez,01015,0002,1120,0090,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,05BF46B6
2022_2t_AC,o00407-0101500020091.logjez,01015,0002,1120,0091,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,4A9C3DA3
2022_2t_AC,o00407-0101500020092.logjez,01015,0002,1120,0092,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,5ED63977
2022_2t_AC,o00407-0101500020093.logjez,01015,0002,1120,0093,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,A1CC8A5A
2022_2t_AC,o00407-0101500020094.logjez,01015,0002,1155,0094,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,7DDC6560
2022_2t_AC,o00407-0101500020095.logjez,01015,0002,1155,0095,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,E96DFC2F
2022_2t_AC,o00407-0101500020101.logjez,01015,0002,1228,0101,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,FAB4F6EE
2022_2t_AC,o00407-0101500020102.logjez,01015,0002,1236,0102,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,5B7D123B
2022_2t_AC,o00407-0101500020103.logjez,01015,0002,1236,0103,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,0F193D7B
2022_2t_AC,o00407-0101500020105.logjez,01015,0002,1252,0105,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,529DA6E6
2022_2t_AC,o00407-0101500020107.logjez,01015,0002,1015,0107,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,A5A774AA
2022_2t_AC,o00407-0102300010576.logjez,01023,0001,1015,0576,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,084B8D9B
2022_2t_AC,o00407-0102300010577.logjez,01023,0001,1015,0577,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,9BFA0C6D
2022_2t_AC,o00407-0102300010578.logjez,01023,0001,1015,0578,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,89565FFA
2022_2t_AC,o00407-0102300010579.logjez,01023,0001,1015,0579,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,BB556522
2022_2t_AC,o00407-0102300010580.logjez,01023,0001,1015,0580,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,AF8DC986
2022_2t_AC,o00407-0102300010581.logjez,01023,0001,1015,0581,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,F726B4F1
2022_2t_AC,o00407-0102300010582.logjez,01023,0001,1015,0582,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,59E7BC12
2022_2t_AC,o00407-0102300010583.logjez,01023,0001,1023,0583,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,8C6655F6
2022_2t_AC,o00407-0102300010584.logjez,01023,0001,1023,0584,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,C34585CF
2022_2t_AC,o00407-0102300010585.logjez,01023,0001,1023,0585,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,7F99EBF6
2022_2t_AC,o00407-0102300010586.logjez,01023,0001,1023,0586,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,0EE0294B
2022_2t_AC,o00407-0102300010587.logjez,01023,0001,1023,0587,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,D9C3347F
2022_2t_AC,o00407-0102300010588.logjez,01023,0001,1023,0588,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,17018ABB
2022_2t_AC,o00407-0102300010589.logjez,01023,0001,1031,0589,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,019304CC
2022_2t_AC,o00407-0102300010590.logjez,01023,0001,1031,0590,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,A1053946
2022_2t_AC,o00407-0102300010591.logjez,01023,0001,1031,0591,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,C0568134
2022_2t_AC,o00407-0102300010592.logjez,01023,0001,1031,0592,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,03C2E8F7
2022_2t_AC,o00407-0102300010593.logjez,01023,0001,1031,0593,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,A5EA0CD6
2022_2t_AC,o00407-0102300010594.logjez,01023,0001,1031,0594,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,B8DD0651
2022_2t_AC,o00407-0102300010595.logjez,01023,0001,1031,0595,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,314C5B2C
