Diretório,Arquivo,Município,Zona Eleitoral,Local de Votação,Seção Eleitoral,Versão da aplicação,Turno da UE,Identificação do Modelo de Urna,Fase da UE,Serial de votação da MV
2022_2t_AM,o00407-0200300670001.logjez,02003,0067,1147,0001,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,09836BC2
2022_2t_AM,o00407-0200300670002.logjez,02003,0067,1147,0002,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,AEE3A4E6
2022_2t_AM,o00407-0200300670003.logjez,02003,0067,1023,0003,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,F1EC99CD
2022_2t_AM,o00407-0200300670005.logjez,02003,0067,1023,0005,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,611A0759
2022_2t_AM,o00407-0200300670006.logjez,02003,0067,1023,0006,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,84665D5C
2022_2t_AM,o00407-0200300670008.logjez,02003,0067,1023,0008,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,54090297
2022_2t_AM,o00407-0200300670009.logjez,02003,0067,0000,0000,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,56E3D033
2022_2t_AM,o00407-0200300670011.logjez,02003,0067,1031,0011,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,EA649E37
2022_2t_AM,o00407-0200300670012.logjez,02003,0067,1031,0012,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,63CBB313
2022_2t_AM,o00407-0200300670014.logjez,02003,0067,1031,0014,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,5240CC6F
2022_2t_AM,o00407-0200300670017.logjez,02003,0067,1031,0017,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,CCDE979E
2022_2t_AM,o00407-0200300670019.logjez,02003,0067,1040,0019,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,79E724EE
2022_2t_AM,o00407-0200300670020.logjez,02003,0067,1040,0020,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,1A1D11FF
2022_2t_AM,o00407-0200300670021.logjez,02003,0067,1040,0021,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,DA9C2973
2022_2t_AM,o00407-0200300670022.logjez,02003,0067,1040,0022,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,4462B7C7
2022_2t_AM,o00407-0200300670023.logjez,02003,0067,1040,0023,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,24555DC5
2022_2t_AM,o00407-0200300670024.logjez,02003,0067,1040,0024,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,ADD7BA50
2022_2t_AM,o00407-0200300670025.logjez,02003,0067,1040,0025,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,1801B98D
2022_2t_AM,o00407-0200300670026.logjez,02003,0067,1058,0026,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,5A13209C
2022_2t_AM,o00407-0200300670028.logjez,02003,0067,1066,0028,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,0DE47166
2022_2t_AM,o00407-0200300670029.logjez,02003,0067,1074,0029,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,DAF405E1
2022_2t_AM,o00407-0200300670030.logjez,02003,0067,1074,0030,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,2E6F6735
2022_2t_AM,o00407-0200300670031.logjez,02003,0067,1082,0031,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,03F094D5
2022_2t_AM,o00407-0200300670032.logjez,02003,0067,1090,0032,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,6C1F44EE
2022_2t_AM,o00407-0200300670034.logjez,02003,0067,1147,0034,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,B688753C
2022_2t_AM,o00407-0200300670036.logjez,02003,0067,1040,0036,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,9ABF3A5A
2022_2t_AM,o00407-0200300670037.logjez,02003,0067,1171,0037,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,D58DE69A
2022_2t_AM,o00407-0200300670039.logjez,02003,0067,1139,0039,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,7DCC4EDB
2022_2t_AM,o00407-0200300670040.logjez,02003,0067,0000,0000,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,89C1529C
2022_2t_AM,o00407-0200300670043.logjez,02003,0067,1147,0043,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,A4D09F3B
2022_2t_AM,o00407-0201100340001.logjez,02011,0034,1147,0001,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,1DECC46A
2022_2t_AM,o00407-0201100340002.logjez,02011,0034,1147,0002,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,5C27667C
2022_2t_AM,o00407-0201100340003.logjez,02011,0034,1031,0003,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,A39B2052
2022_2t_AM,o00407-0201100340004.logjez,02011,0034,1031,0004,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,8C1ABBD5
2022_2t_AM,o00407-0201100340005.logjez,02011,0034,1031,0005,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,C5E0CF29
2022_2t_AM,o00407-0201100340006.logjez,02011,0034,1147,0006,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,E7AB102D
2022_2t_AM,o00407-0201100340007.logjez,02011,0034,1147,0007,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,03872FA3
2022_2t_AM,o00407-0201100340008.logjez,02011,0034,1147,0008,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,77E02AC4
2022_2t_AM,o00407-0201100340009.logjez,02011,0034,1031,0009,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,3858AF02
2022_2t_AM,o00407-0201100340010.logjez,02011,0034,1031,0010,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,D1E1C388
2022_2t_AM,o00407-0201100340011.logjez,02011,0034,1112,0011,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,D8953FED
2022_2t_AM,o00407-0201100340012.logjez,02011,0034,1112,0012,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,ED276EC6
2022_2t_AM,o00407-0201100340013.logjez,02011,0034,1147,0013,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,D88B7F91
2022_2t_AM,o00407-0201100340014.logjez,02011,0034,1031,0014,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,61351A1E
2022_2t_AM,o00407-0201100340015.logjez,02011,0034,1112,0015,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,697FFB1C
2022_2t_AM,o00407-0201100340016.logjez,02011,0034,1112,0016,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,D34D49C6
2022_2t_AM,o00407-0201100340017.logjez,02011,0034,1147,0017,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,8CE24631
2022_2t_AM,o00407-0201100340018.logjez,02011,0034,1074,0018,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,31E5D99F
2022_2t_AM,o00407-0201100340020.logjez,02011,0034,1066,0020,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,13241C12
2022_2t_AM,o00407-0201100340026.logjez,02011,0034,1139,0026,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,96397374
2022_2t_AM,o00407-0201100340027.logjez,02011,0034,1120,0027,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,90B4AB7A
2022_2t_AM,o00407-0201100340029.logjez,02011,0034,1155,0029,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,CA110ADF
2022_2t_AM,o00407-0201100340030.logjez,02011,0034,1031,0030,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,C75D64DD
2022_2t_AM,o00407-0201100340031.logjez,02011,0034,1031,0031,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,163B957D
2022_2t_AM,o00407-0201100340032.logjez,02011,0034,1155,0032,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,79E65FB3
2022_2t_AM,o00407-0201100340033.logjez,02011,0034,1155,0033,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,2622DF6F
2022_2t_AM,o00407-0201100340034.logjez,02011,0034,1031,0034,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,60A98C82
2022_2t_AM,o00407-0201100340035.logjez,02011,0034,1031,0035,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,B7C78B6D
2022_2t_AM,o00407-0201100340036.logjez,02011,0034,1155,0036,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,309D57B8
2022_2t_AM,o00407-0201100340037.logjez,02011,0034,1155,0037,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,7A898DF3
2022_2t_AM,o00407-0201100340038.logjez,02011,0034,1155,0038,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,E0B96BB5
2022_2t_AM,o00407-0201100340039.logjez,02011,0034,1163,0039,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,88599BDA
2022_2t_AM,o00407-0201100340040.logjez,02011,0034,1155,0040,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,DC7608D8
2022_2t_AM,o00407-0201100340041.logjez,02011,0034,1147,0041,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,9CA3C67B
2022_2t_AM,o00407-0202000450015.logjez,02020,0045,1031,0015,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,4341FF8C
2022_2t_AM,o00407-0202000450016.logjez,02020,0045,1031,0016,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,8948664F
2022_2t_AM,o00407-0202000450017.logjez,02020,0045,1031,0017,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,F502FFB8
2022_2t_AM,o00407-0202000450018.logjez,02020,0045,1023,0018,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,356761D0
2022_2t_AM,o00407-0202000450019.logjez,02020,0045,0000,0000,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,2B312FAA
2022_2t_AM,o00407-0202000450020.logjez,02020,0045,1023,0020,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,5122DD68
2022_2t_AM,o00407-0202000450021.logjez,02020,0045,1023,0021,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,EE9A4FFB
2022_2t_AM,o00407-0202000450022.logjez,02020,0045,1031,0022,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,403DF6C7
2022_2t_AM,o00407-0202000450023.logjez,02020,0045,1031,0023,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,2842A974
2022_2t_AM,o00407-0202000450025.logjez,02020,0045,1015,0025,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,AFA5D2B3
2022_2t_AM,o00407-0202000450026.logjez,02020,0045,1023,0026,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,EF50B634
2022_2t_AM,o00407-0202000450028.logjez,02020,0045,1023,0028,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,D1040323
2022_2t_AM,o00407-0202000450029.logjez,02020,0045,1023,0029,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,4EDBF674
2022_2t_AM,o00407-0202000450030.logjez,02020,0045,1031,0030,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,0D8536B8
2022_2t_AM,o00407-0202000450031.logjez,02020,0045,1031,0031,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,E800FE3C
2022_2t_AM,o00407-0202000450032.logjez,02020,0045,1040,0032,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,6BD24340
2022_2t_AM,o00407-0202000450033.logjez,02020,0045,1058,0033,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,90824AC5
2022_2t_AM,o00407-0202000450038.logjez,02020,0045,0000,0000,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,215EAEA7
2022_2t_AM,o00407-0202000450039.logjez,02020,0045,1031,0039,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,158FB4C6
2022_2t_AM,o00407-0202000450040.logjez,02020,0045,1040,0040,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,C4B46564
2022_2t_AM,o00407-0202000450042.logjez,02020,0045,1023,0042,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,8340DD04
2022_2t_AM,o00407-0202000450044.logjez,02020,0045,1120,0044,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,4B282318
2022_2t_AM,o00407-0202000450047.logjez,02020,0045,1120,0047,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,1AEA433B
2022_2t_AM,o00407-0202000450048.logjez,02020,0045,1120,0048,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,FCFF5DD9
