Diretório,Arquivo,Município,Zona Eleitoral,Local de Votação,Seção Eleitoral,Versão da aplicação,Turno da UE,Identificação do Modelo de Urna,Fase da UE,Serial de votação da MV
2022_2t_RN,o00407-1600400210016.logjez,16004,0021,1015,0016,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,4944BB93
2022_2t_RN,o00407-1600400210017.logjez,16004,0021,1015,0017,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,463440A9
2022_2t_RN,o00407-1600400210018.logjez,18570,0021,0000,0000,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,407AC2E1
2022_2t_RN,o00407-1600400210044.logjez,16004,0021,1015,0044,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,98D038AD
2022_2t_RN,o00407-1600400210047.logjez,16004,0021,1015,0047,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,A6EE3907
2022_2t_RN,o00407-1600400210048.logjez,16004,0021,1015,0048,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,F6F2E273
2022_2t_RN,o00407-1600400210049.logjez,16004,0021,1023,0049,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,8036D93F
2022_2t_RN,o00407-1600400210051.logjez,16004,0021,1023,0051,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,7714972F
2022_2t_RN,o00407-1600400210053.logjez,16004,0021,1023,0053,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,65C0AEC5
2022_2t_RN,o00407-1600400210056.logjez,16004,0021,1023,0056,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,101B3EA0
2022_2t_RN,o00407-1600400210057.logjez,16004,0021,1023,0057,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,3E072760
2022_2t_RN,o00407-1600400210058.logjez,16004,0021,1015,0058,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,4808E4B6
2022_2t_RN,o00407-1600400210060.logjez,16004,0021,1023,0060,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,7AE0C7D2
2022_2t_RN,o00407-1600400210061.logjez,16004,0021,1023,0061,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,3FB569D3
2022_2t_RN,o00407-1600400210063.logjez,16004,0021,1023,0063,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,9C47FF23
2022_2t_RN,o00407-1601200220001.logjez,16012,0022,1074,0001,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,9BC40FFD
2022_2t_RN,o00407-1601200220002.logjez,16012,0022,1074,0002,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,21913435
2022_2t_RN,o00407-1601200220003.logjez,16012,0022,1074,0003,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,B8F616EA
2022_2t_RN,o00407-1601200220004.logjez,16012,0022,1074,0004,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,D9BD5570
2022_2t_RN,o00407-1601200220005.logjez,16012,0022,1074,0005,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,F830290B
2022_2t_RN,o00407-1601200220006.logjez,16012,0022,1040,0006,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,D5886DD0
2022_2t_RN,o00407-1601200220007.logjez,16012,0022,1040,0007,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,D416D23A
2022_2t_RN,o00407-1601200220008.logjez,16012,0022,1058,0008,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,C8C91F73
2022_2t_RN,o00407-1601200220009.logjez,16012,0022,1058,0009,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,01D10B86
2022_2t_RN,o00407-1601200220010.logjez,16012,0022,0000,0000,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,B97E80B4
2022_2t_RN,o00407-1601200220011.logjez,16012,0022,1058,0011,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,3FB0C08E
2022_2t_RN,o00407-1601200220012.logjez,16012,0022,1040,0012,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,88C5ED7F
2022_2t_RN,o00407-1601200220013.logjez,16012,0022,1040,0013,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,18D0CC75
2022_2t_RN,o00407-1601200220014.logjez,16012,0022,1040,0014,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,25933DCA
2022_2t_RN,o00407-1601200220015.logjez,16012,0022,1040,0015,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,5CCB69E8
2022_2t_RN,o00407-1601200220016.logjez,16012,0022,1058,0016,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,AB3A6C71
2022_2t_RN,o00407-1601200220017.logjez,16012,0022,1058,0017,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,8676A3B4
2022_2t_RN,o00407-1601200220018.logjez,16012,0022,1058,0018,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,2623A804
2022_2t_RN,o00407-1601200220019.logjez,16012,0022,1058,0019,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,CAFE5593
2022_2t_RN,o00407-1601200220020.logjez,16012,0022,1066,0020,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,2664A9A5
2022_2t_RN,o00407-1601200220021.logjez,16012,0022,1066,0021,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,B9FE1363
2022_2t_RN,o00407-1601200220033.logjez,16012,0022,1040,0033,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,9D12F583
2022_2t_RN,o00407-1601200220034.logjez,16012,0022,1040,0034,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,D4009BD4
2022_2t_RN,o00407-1601200220035.logjez,16012,0022,1040,0035,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,5C2EFD12
2022_2t_RN,o00407-1601200220036.logjez,16012,0022,1066,0036,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,166C90ED
2022_2t_RN,o00407-1601200220037.logjez,16012,0022,1066,0037,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,8676B134
2022_2t_RN,o00407-1601200220038.logjez,16012,0022,1066,0038,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,AE0B3B0B
2022_2t_RN,o00407-1601200220039.logjez,16012,0022,1066,0039,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,F7BAE750
2022_2t_RN,o00407-1601200220044.logjez,16012,0022,1058,0044,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,6EF32D56
2022_2t_RN,o00407-1602000580016.logjez,16020,0058,1015,0016,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,7E4D93FB
2022_2t_RN,o00407-1602000580017.logjez,16020,0058,1015,0017,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,22741D21
2022_2t_RN,o00407-1602000580018.logjez,16020,0058,1015,0018,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,AFE61B39
2022_2t_RN,o00407-1602000580019.logjez,16020,0058,1015,0019,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,0B8386C2
2022_2t_RN,o00407-1602000580020.logjez,16020,0058,1015,0020,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,A0637318
2022_2t_RN,o00407-1602000580021.logjez,16020,0058,1015,0021,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,C8164C91
2022_2t_RN,o00407-1602000580022.logjez,16020,0058,1015,0022,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,93C4FC42
2022_2t_RN,o00407-1602000580023.logjez,16020,0058,1015,0023,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,0409D173
