Diretório,Arquivo,Município,Zona Eleitoral,Local de Votação,Seção Eleitoral,Versão da aplicação,Turno da UE,Identificação do Modelo de Urna,Fase da UE,Serial de votação da MV
2022_2t_RO,o00407-0001900010003.logjez,00019,0001,1155,0003,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,7462E257
2022_2t_RO,o00407-0001900010004.logjez,00019,0001,1058,0004,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,F2351F89
2022_2t_RO,o00407-0001900010005.logjez,00019,0001,1058,0005,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,A72D8324
2022_2t_RO,o00407-0001900010006.logjez,00019,0001,1058,0006,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,0E4936B9
2022_2t_RO,o00407-0001900010007.logjez,00019,0001,1058,0007,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,41C84791
2022_2t_RO,o00407-0001900010008.logjez,00019,0001,1058,0008,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,578E0A66
2022_2t_RO,o00407-0001900010009.logjez,00019,0001,1139,0009,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,6F8CABE9
2022_2t_RO,o00407-0001900010010.logjez,00019,0001,1139,0010,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,D83A3F46
2022_2t_RO,o00407-0001900010011.logjez,00019,0001,1058,0011,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,403E2845
2022_2t_RO,o00407-0001900010012.logjez,00019,0001,1058,0012,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,A9334B8D
2022_2t_RO,o00407-0001900010013.logjez,00019,0001,1058,0013,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,C6750223
2022_2t_RO,o00407-0001900010014.logjez,00019,0001,1058,0014,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,F26C7825
2022_2t_RO,o00407-0001900010015.logjez,00019,0001,1066,0015,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,F5EAE5E1
2022_2t_RO,o00407-0001900010016.logjez,00019,0001,1066,0016,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,5357BCFD
2022_2t_RO,o00407-0001900010021.logjez,00019,0001,0000,0000,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,06C36B61
2022_2t_RO,o00407-0001900010022.logjez,00019,0001,1139,0022,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,6E2F35B9
2022_2t_RO,o00407-0001900010023.logjez,00019,0001,1139,0023,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,D69DA66F
2022_2t_RO,o00407-0001900010024.logjez,00019,0001,1104,0024,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,A49E3797
2022_2t_RO,o00407-0001900010025.logjez,00019,0001,1104,0025,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,95226DC4
2022_2t_RO,o00407-0001900010026.logjez,00019,0001,1104,0026,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,AFBD70DB
2022_2t_RO,o00407-0001900010027.logjez,00019,0001,1112,0027,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,341B141C
2022_2t_RO,o00407-0001900010028.logjez,00019,0001,1112,0028,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,4BC87D23
2022_2t_RO,o00407-0001900010029.logjez,00019,0001,1112,0029,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,6CBEA19C
2022_2t_RO,o00407-0001900010030.logjez,00019,0001,1112,0030,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,92FE1638
2022_2t_RO,o00407-0001900010031.logjez,00019,0001,1112,0031,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,BCA479FC
2022_2t_RO,o00407-0001900010032.logjez,00019,0001,1112,0032,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,51EEA8CC
2022_2t_RO,o00407-0001900010033.logjez,00019,0001,1112,0033,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,9888EA0B
2022_2t_RO,o00407-0001900010034.logjez,00019,0001,1112,0034,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,8DFCCC76
2022_2t_RO,o00407-0001900010035.logjez,00019,0001,1155,0035,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,0B7BB506
2022_2t_RO,o00407-0001900010036.logjez,00019,0001,1155,0036,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,4FB781EC
2022_2t_RO,o00407-0001900010037.logjez,00019,0001,1155,0037,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,3CF0D8D2
