Diretório,Arquivo,Município,Zona Eleitoral,Local de Votação,Seção Eleitoral,Versão da aplicação,Turno da UE,Identificação do Modelo de Urna,Fase da UE,Serial de votação da MV
2022_2t_ZZ,o00407-2926200011977.logjez,29262,0001,1015,1977,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,96B5A1A7
2022_2t_ZZ,o00407-2926200011978.logjez,29262,0001,1015,1978,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,67C5EA9F
2022_2t_ZZ,o00407-2926200011980.logjez,29262,0001,1023,1980,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,2304CCFB
2022_2t_ZZ,o00407-2926200011981.logjez,29262,0001,1023,1981,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,F351C9EE
2022_2t_ZZ,o00407-2928900011931.logjez,29289,0001,1015,1931,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,EC5869DC
2022_2t_ZZ,o00407-2928900011932.logjez,29289,0001,1015,1932,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,1A0A2B3D
2022_2t_ZZ,o00407-2931900010007.logjez,29319,0001,1015,0007,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,1BF59C29
2022_2t_ZZ,o00407-2932700010008.logjez,29327,0001,1023,0008,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,EA93D12F
2022_2t_ZZ,o00407-2932700010009.logjez,29327,0001,1023,0009,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,0D5A9168
2022_2t_ZZ,o00407-2932700010010.logjez,29327,0001,1023,0010,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,66A39069
2022_2t_ZZ,o00407-2933500011897.logjez,29335,0001,1015,1897,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,2CDCF373
2022_2t_ZZ,o00407-2933500011898.logjez,29335,0001,1015,1898,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,B5CF0E6E
